Mean,Median,STD,Max,Min,Mode,Skewness,Kurtosis,Mean Abs Val,Class
0.085015937,-0.300610584,9.499704173,52.24159077,-37.56867366,-37.56867366,0.343972255,5.226015329,7.180259163,1
-0.072842902,-0.130351816,13.92944847,73.18455817,-95.20345987,-95.20345987,-0.081907305,6.476628868,10.17828083,1
0.100647602,-0.103503991,12.84169245,104.2293672,-107.1704888,-107.1704888,0.073831184,15.17758281,8.528044696,1
0.01778359,0.571809828,15.61233722,86.17754498,-53.6055226,-53.6055226,0.435301378,6.439598887,11.08788654,1
-0.0686032,0.128060773,11.84168361,62.35116361,-64.56963656,-64.56963656,-0.168672905,4.871500224,8.802204723,1
0.039873019,-0.095364155,7.279960909,24.15188385,-25.07923919,-25.07923919,0.036164116,3.086260319,5.76295919,1
0.047506317,0.376517029,15.24752692,59.08093204,-106.3618216,-106.3618216,-0.796157601,7.0495545,11.13901176,1
0.009643178,-0.135249122,12.04931653,59.14263663,-60.74566481,-60.74566481,0.211205233,5.115595501,8.867589535,1
-0.085910383,-0.050448085,8.725485889,32.65794546,-34.60721438,-34.60721438,0.002078626,3.158873927,6.925471628,1
0.047121486,0.144469019,9.270722134,33.36255927,-34.94759726,-34.94759726,-0.105831352,3.19337634,7.315623099,1
0.085605757,0.046823452,9.613698536,40.71082895,-33.03524931,-33.03524931,0.003485645,3.330150198,7.575492564,1
-0.047468147,0.0247542,11.19887054,67.39029503,-74.52281224,-74.52281224,0.145746422,7.096055597,8.18036485,1
0.079484104,0.118895324,9.992548714,53.30316354,-38.11278502,-38.11278502,0.201265994,4.338561029,7.604385499,1
-0.062842703,0.135995132,10.43065949,57.26638773,-75.77619986,-75.77619986,-0.498535844,7.442490401,7.649402681,1
0.138544169,0.250260393,8.018232507,31.63081914,-33.66164575,-33.66164575,-0.047217563,3.44390059,6.284085736,1
-0.100919768,0.305896461,10.47821523,40.09899931,-50.68227981,-50.68227981,-0.426115701,4.711674803,7.938731182,1
-0.060476634,0.073973424,9.593129702,42.82865095,-44.18269271,-44.18269271,-0.049997461,3.582555925,7.540902411,1
0.128719247,-0.118098654,9.253534177,42.62910936,-31.98306213,-31.98306213,0.218906452,3.839536562,7.201057302,1
0.077882871,0.086469845,12.17500121,44.89304749,-43.7536404,-43.7536404,0.115484015,3.985459525,9.265136908,1
0.072552685,0.330158083,15.17133049,199.868156,-161.7330979,-161.7330979,0.357270966,21.45703239,9.932195784,1
-0.097831238,-0.031141996,11.30632279,67.84870965,-47.17123398,-47.17123398,0.108530499,5.952548593,8.343410618,1
0.093381272,-0.119882964,10.88100936,60.77894559,-84.0756303,-84.0756303,-0.043085361,6.727773923,8.040718142,1
-0.109302776,0.071837226,10.00155359,48.83020291,-50.35848976,-50.35848976,-0.123533818,4.827305661,7.663438896,1
0.081351154,0.604513349,12.03944617,50.88121682,-53.21282499,-53.21282499,-0.276442446,4.984095858,8.842875355,1
0.067121987,-0.017426151,12.88574401,49.90526857,-45.34631639,-45.34631639,0.150444445,3.754646938,9.840827218,1
-0.06541865,0.2957101,10.42785079,53.56004294,-48.09167197,-48.09167197,-0.19383443,6.400041989,7.534633328,1
