Mean,Median,STD,Max,Min,Mode,Skewness,Kurtosis,Mean Abs Val,Class
0.458375201,-0.676065538,92.23721663,595.0156215,-561.8007385,-561.8007385,0.348805942,10.10898513,65.60868599,0
-0.103930112,-0.553119932,61.57624044,451.6454023,-466.2512572,-466.2512572,-0.09708385,5.122031671,51.82575363,0
0.194211033,0.613798362,54.55094075,100.3967534,-105.9456226,-105.9456226,-0.000451756,1.606197401,48.66544726,0
-0.081125141,-0.147985501,52.18605547,96.85487147,-101.7520456,-101.7520456,-0.001456795,1.601058715,46.5774099,0
-0.092778802,0.121234696,58.03754506,364.6469591,-612.9954943,-612.9954943,-1.433988389,16.67742406,46.18157006,0
0.294063614,0.896723047,97.01860861,515.1296046,-705.8402369,-705.8402369,-0.580048344,9.515243479,64.49172584,0
-0.275983003,-0.509521887,94.58549311,629.1854165,-651.6894375,-651.6894375,0.067597387,12.45026752,54.68037847,0
-0.073839609,-0.450218796,32.13787371,189.1958828,-284.5831326,-284.5831326,-0.260753127,4.454372788,27.01389931,0
0.192758857,0.231995272,38.28545378,95.29696041,-86.40781307,-86.40781307,-0.005660856,1.847819438,33.42908886,0
-0.149520577,0.259377112,44.40969907,232.2722605,-619.3129491,-619.3129491,-1.049892871,15.53832788,37.17796089,0
-0.154033846,0.867775947,66.45096388,465.8967206,-610.4441779,-610.4441779,-1.549724797,20.01877567,45.25901315,0
0.216093283,7.45053934,116.8499832,514.2664896,-642.4266775,-642.4266775,-1.271066403,9.356328801,75.74361705,0
-0.228125214,4.266487239,139.4303118,618.7036078,-641.6544949,-641.6544949,-0.251482938,7.397300207,89.98738293,0
0.291392754,4.461191861,100.0104505,422.5021381,-662.9442955,-662.9442955,-2.649411838,17.54940413,49.50155432,0
-0.29814184,0.579702171,47.45387071,313.4110521,-688.5518674,-688.5518674,-5.78060001,76.52532179,21.76345449,0
0.108716677,0.896330281,31.45921558,235.4940011,-670.7919709,-670.7919709,-9.959809353,194.0285363,16.300419,0
0.544877122,0.571702638,59.39668131,479.1692807,-655.6899809,-655.6899809,-3.3979064,42.3371309,26.32090639,0
-0.364913568,0.314973733,65.71317955,593.5772337,-656.4317318,-656.4317318,-1.395458299,33.44928555,35.37694988,0
-0.468738686,-0.044611524,43.67305341,586.3035171,-624.4233862,-624.4233862,-1.992972931,62.34961115,25.85861341,0
